session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,1,study,nate,[],18.048643399990397,255.30695379999815,,,,,
1,2,1,study,eric,[],24.040946299995994,261.2997049000114,,,,,
1,3,1,study,waltz,[],30.044673800002784,267.3027272000036,,,,,
1,4,1,study,william,[],36.042812700005015,273.3008598999877,,,,,
1,5,1,study,nate,[],42.039566299994476,279.29762160000973,,,,,
1,6,1,study,igloo,[],48.066836699988926,285.3250166999933,,,,,
1,7,1,study,jets,[],54.069044600008056,291.3271063999855,,,,,
1,8,1,study,potato,[],60.078014200000325,297.3361554000003,,,,,
1,9,1,study,opera,[],66.08997420000378,303.34806389998994,,,,,
1,10,1,study,letter,[],72.09163370000897,309.35204130000784,,,,,
1,11,1,study,rat,[],78.1130828000023,315.3712307999958,,,,,
1,12,1,study,teeth,[],84.12346790000447,321.38152259998606,,,,,
1,13,1,study,motorboat,[],90.12730429999647,327.38771499998984,,,,,
1,14,1,study,cadillac,[],96.14366880001035,333.4017956999887,,,,,
1,15,1,study,hornet,[],102.16082099999767,339.4189481000067,,,,,
1,16,1,study,kansas,[],108.17300680000335,345.4310824999993,,,,,
1,17,1,study,ball,[],114.17338900000323,351.43380030000117,,,,,
1,18,1,study,sandpaper,[],120.19915229998878,357.45910770000773,,,,,
1,19,1,study,aqua,[],126.21353579999413,363.47333059998346,,,,,
1,20,1,study,germany,[],132.23656389999087,369.49703800000134,,,,,
1,21,1,study,dallas,[],138.23586410001735,375.49396039999556,,,,,
1,22,1,study,flannel,[],144.24412540000048,381.50220550000085,,,,,
1,23,1,study,vinegar,[],150.25903839999228,387.51715989998775,,,,,
1,24,1,study,nate,[],156.24383550000493,393.5018873999943,,,,,
1,25,1,study,zach,[],162.24856760000694,399.50919660000363,,,,,
1,1,1,rp,a _ _ _,,14.880032400018536,737.5475805999886,,,,,
1,2,1,rp,j _ _ _,ohn,6.879128200002015,753.4653124999895,,,,,
1,3,1,rp,m _ _ _ _ _ _ _ _,ousetrap,27.16254600000684,761.3801596999983,,,,,
1,1,1,recall,[],zach,9.838979299995117,1103.7192472000024,zach,,,,
1,2,1,recall,[],nate,4.4493349000113085,1113.5753726999974,nate,,,,
1,3,1,recall,[],dallas,1.6821007000107784,1118.0416440999834,dallas,,,,
1,4,1,recall,[],germany,4.665807399986079,1119.7423567000078,germany,,,,
1,5,1,recall,[],kansas,4.283843800018076,1124.4256083999935,kansas,,,,
1,6,1,recall,[],sandpaper,19.6496635999938,1128.7249165000103,sandpaper,,,,
1,7,1,recall,[],william,13.699284999980591,1148.3915736000054,william,,,,
1,8,1,recall,[],waltz,4.282421600015368,1162.1082121999934,waltz,,,,
1,9,1,recall,[],hornet,5.315562800009502,1166.4089289999974,hornet,,,,
1,10,1,recall,[],jets,1.964887500012992,1171.742927299987,jets,,,,
1,11,1,recall,[],rat,1.3654034999781288,1173.7248050000053,rat,,,,
1,12,1,recall,[],teeth,36.564558799989754,1175.1088220000092,teeth,,,,
1,13,1,recall,[],flannel,12.88135670000338,1211.6920767999836,flannel,,,,
1,14,1,recall,[],done,40.93386780002038,1224.5918377999915,done,,,,
2,26,1,study,marigold,[],77.03906460001599,1537.8502686999855,,,,,
2,27,1,study,yen,[],83.05389899999136,1543.867354099988,,,,,
2,28,1,study,jake,[],89.07064819999505,1549.883988799993,,,,,
2,29,1,study,jitterbug,[],95.08661960001336,1555.8999602000113,,,,,
2,30,1,study,jack,[],101.09097109999857,1561.9019619000028,,,,,
2,31,1,study,acura,[],107.10501319999457,1567.9185227999988,,,,,
2,32,1,study,chicken,[],113.10049360000994,1573.9114138000004,,,,,
2,33,1,study,kayak,[],119.10948390001431,1579.920411500003,,,,,
2,34,1,study,dresser,[],125.12045099999523,1585.9337824000104,,,,,
2,35,1,study,periodical,[],131.14569790000678,1591.9567345000105,,,,,
2,36,1,study,spider,[],137.15153930001543,1597.964996499999,,,,,
2,37,1,study,gray,[],143.17011599999387,1603.9834008000034,,,,,
2,38,1,study,israel,[],149.1850919999997,1609.9960875000106,,,,,
2,39,1,study,boron,[],155.18492060000426,1615.9959657999862,,,,,
2,40,1,study,nectarine,[],161.1751546000014,1621.9860898999905,,,,,
2,41,1,study,vest,[],167.1790047000104,1627.9899824000022,,,,,
2,42,1,study,hawaii,[],173.18911890001618,1634.0033358999935,,,,,
2,43,1,study,zucchini,[],179.18602980001015,1639.996955599985,,,,,
2,44,1,study,lace,[],185.19658069999423,1646.0075545999862,,,,,
2,45,1,study,townhouse,[],191.20103180001024,1652.014376999985,,,,,
2,46,1,study,willow,[],197.2241393000004,1658.0359569999855,,,,,
2,47,1,study,rat,[],203.22144059999846,1664.0328281999973,,,,,
2,48,1,study,entrance,[],209.24442850000923,1670.0576815000095,,,,,
2,49,1,study,flats,[],215.25859909999417,1676.072665899992,,,,,
