session,category,target,rp,,critical_cat,critical_target,critical_rp
1,RELATIVES,niece,n _ _ _ _,,,,
1,GIRL NAMES,karen,k _ _ _ _,,,,
1,BOY NAMES,gary,g _ _ _,,,,
1,BOY NAMES,nate,n _ _ _,,,,
1,GIRL NAMES,nancy,n _ _ _ _,,,,
1,FABRICS,satin,s _ _ _ _,,FABRICS,satin,s _ _ _ _
1,TRANSPORTATION,moped,m _ _ _ _,,TRANSPORTATION,moped,m _ _ _ _
1,READING MATERIALS,journal,j _ _ _ _ _ _,,READING MATERIALS,journal,j _ _ _ _ _ _
1,MUSIC STYLES,techno,t _ _ _ _ _,,MUSIC STYLES,techno,t _ _ _ _ _
1,WEATHER TERMS,blizzard,b _ _ _ _ _ _ _,,WEATHER TERMS,blizzard,b _ _ _ _ _ _ _
1,CARPENTRY TOOLS,drill,d _ _ _ _,,CARPENTRY TOOLS,drill,d _ _ _ _
1,FURNITURE,loveseat,l _ _ _ _ _ _ _,,FURNITURE,loveseat,l _ _ _ _ _ _ _
1,OCCUPATIONS,cook,c _ _ _,,OCCUPATIONS,cook,c _ _ _
1,CITIES,orlando,o _ _ _ _ _ _,,CITIES,orlando,o _ _ _ _ _ _
1,BIRDS,raven,r _ _ _ _,,BIRDS,raven,r _ _ _ _
1,BODY PARTS,heart,h _ _ _ _,,BODY PARTS,heart,h _ _ _ _
1,TREES,elm,e _ _,,TREES,elm,e _ _
1,SPORTS,wrestling,w _ _ _ _ _ _ _ _,,SPORTS,wrestling,w _ _ _ _ _ _ _ _
1,SOURCES OF FUEL,propane,p _ _ _ _ _ _,,SOURCES OF FUEL,propane,p _ _ _ _ _ _
1,STATES,vermont,v _ _ _ _ _ _,,STATES,vermont,v _ _ _ _ _ _
1,FOUR-FOOTED ANIMALS,fox,f _ _,,FOUR-FOOTED ANIMALS,fox,f _ _
1,COUNTRIES,italy,i _ _ _ _,,COUNTRIES,italy,i _ _ _ _
1,FRUIT,apricot,a _ _ _ _ _ _,,FRUIT,apricot,a _ _ _ _ _ _
1,FOOTBALL TEAMS,giants,g _ _ _ _ _,,,,
1,COLLEGES,nyu,n _ _,,,,
2,GIRL NAMES,julie,j _ _ _ _,,,,
2,GIRL NAMES,julie,j _ _ _ _,,,,
2,GIRL NAMES,joan,j _ _ _,,,,
2,FOOTBALL TEAMS,jets,j _ _ _,,,,
2,BOY NAMES,josh,j _ _ _,,,,
2,CLOTHES,pajamas,p _ _ _ _ _ _,,CLOTHES,pajamas,p _ _ _ _ _ _
2,COLORS,tan,t _ _,,COLORS,tan,t _ _
2,VEGETABLES,zucchini,z _ _ _ _ _ _ _,,VEGETABLES,zucchini,z _ _ _ _ _ _ _
2,STATES,louisiana,l _ _ _ _ _ _ _ _,,STATES,louisiana,l _ _ _ _ _ _ _ _
2,CARPENTRY TOOLS,sandpaper,s _ _ _ _ _ _ _ _,,CARPENTRY TOOLS,sandpaper,s _ _ _ _ _ _ _ _
2,CITIES,houston,h _ _ _ _ _ _,,CITIES,houston,h _ _ _ _ _ _
2,TRANSPORTATION,motorcycle,m _ _ _ _ _ _ _ _ _,,TRANSPORTATION,motorcycle,m _ _ _ _ _ _ _ _ _
2,FOUR-FOOTED ANIMALS,wolf,w _ _ _,,FOUR-FOOTED ANIMALS,wolf,w _ _ _
2,SCIENCES,archaeology,a _ _ _ _ _ _ _ _ _ _,,SCIENCES,archaeology,a _ _ _ _ _ _ _ _ _ _
2,BIRDS,chicken,c _ _ _ _ _ _,,BIRDS,chicken,c _ _ _ _ _ _
2,PRECIOUS STONES,opal,o _ _ _,,PRECIOUS STONES,opal,o _ _ _
2,COUNTRIES,brazil,b _ _ _ _ _,,COUNTRIES,brazil,b _ _ _ _ _
2,CAR MODELS,ferrari,f _ _ _ _ _ _,,CAR MODELS,ferrari,f _ _ _ _ _ _
2,ELEMENTS,nickel,n _ _ _ _ _,,ELEMENTS,nickel,n _ _ _ _ _
2,WEATHER TERMS,drought,d _ _ _ _ _ _,,WEATHER TERMS,drought,d _ _ _ _ _ _
2,BODY PARTS,elbow,e _ _ _ _,,BODY PARTS,elbow,e _ _ _ _
2,SEASONINGS,vinegar,v _ _ _ _ _ _,,SEASONINGS,vinegar,v _ _ _ _ _ _
2,BUILDING PARTS,rafters,r _ _ _ _ _ _,,BUILDING PARTS,rafters,r _ _ _ _ _ _
2,CURRENCIES,yen,y _ _,,,,
2,UNITS OF TIME,generation,g _ _ _ _ _ _ _ _ _,,,,
3,GIRL NAMES,danielle,d _ _ _ _ _ _ _,,,,
3,﻿BEVERAGES,root beer,r _ _ _ _ _ _ _ _,,,,
3,COLLEGES,duke,d _ _ _,,,,
3,BOY NAMES,james,j _ _ _ _,,,,
3,MEMBERS OF THE CLERGY,deacon,d _ _ _ _ _,,,,
3,TREES,elm,e _ _,,TREES,elm,e _ _
3,FOUR-FOOTED ANIMALS,squirrel,s _ _ _ _ _ _ _,,FOUR-FOOTED ANIMALS,squirrel,s _ _ _ _ _ _ _
3,BODY PARTS,lips,l _ _ _,,BODY PARTS,lips,l _ _ _
3,GEOGRAPHY TERMS,plain,p _ _ _ _,,GEOGRAPHY TERMS,plain,p _ _ _ _
3,BUILDING PARTS,attic,a _ _ _ _,,BUILDING PARTS,attic,a _ _ _ _
3,SHIPS,motorboat,m _ _ _ _ _ _ _ _,,SHIPS,motorboat,m _ _ _ _ _ _ _ _
3,SEASONINGS,thyme,t _ _ _ _,,SEASONINGS,thyme,t _ _ _ _
3,ELEMENTS,zinc,z _ _ _,,ELEMENTS,zinc,z _ _ _
3,BIRDS,flamingo,f _ _ _ _ _ _ _,,BIRDS,flamingo,f _ _ _ _ _ _ _
3,CLOTHES,hat,h _ _,,CLOTHES,hat,h _ _
3,STATES,wyoming,w _ _ _ _ _ _,,STATES,wyoming,w _ _ _ _ _ _
3,PRECIOUS STONES,garnet,g _ _ _ _ _,,PRECIOUS STONES,garnet,g _ _ _ _ _
3,CAR MODELS,nissan,n _ _ _ _ _,,CAR MODELS,nissan,n _ _ _ _ _
3,FURNITURE,cabinet,c _ _ _ _ _ _,,FURNITURE,cabinet,c _ _ _ _ _ _
3,READING MATERIALS,bulletin,b _ _ _ _ _ _ _,,READING MATERIALS,bulletin,b _ _ _ _ _ _ _
3,FRUIT,kiwi,k _ _ _,,FRUIT,kiwi,k _ _ _
3,COUNTRIES,italy,i _ _ _ _,,COUNTRIES,italy,i _ _ _ _
3,MUSIC STYLES,opera,o _ _ _ _,,MUSIC STYLES,opera,o _ _ _ _
3,BOY NAMES,jake,j _ _ _,,,,
3,GIRL NAMES,rebecca,r _ _ _ _ _ _,,,,
4,﻿BEVERAGES,root beer,r _ _ _ _ _ _ _ _,,,,
4,DANCES,jitterbug,j _ _ _ _ _ _ _ _,,,,
4,UNITS OF TIME,week,w _ _ _,,,,
4,CURRENCIES,yen,y _ _,,,,
4,DANCES,waltz,w _ _ _ _,,,,
4,ELEMENTS,magnesium,m _ _ _ _ _ _ _ _,,ELEMENTS,magnesium,m _ _ _ _ _ _ _ _
4,MUSIC STYLES,punk,p _ _ _,,MUSIC STYLES,punk,p _ _ _
4,OCCUPATIONS,nurse,n _ _ _ _,,OCCUPATIONS,nurse,n _ _ _ _
4,TREES,birch,b _ _ _ _,,TREES,birch,b _ _ _ _
4,BIRDS,crow,c _ _ _,,BIRDS,crow,c _ _ _
4,FISH,flounder,f _ _ _ _ _ _ _,,FISH,flounder,f _ _ _ _ _ _ _
4,COUNTRIES,argentina,a _ _ _ _ _ _ _ _,,COUNTRIES,argentina,a _ _ _ _ _ _ _ _
4,FOUR-FOOTED ANIMALS,elk,e _ _,,FOUR-FOOTED ANIMALS,elk,e _ _
4,READING MATERIALS,leaflet,l _ _ _ _ _ _,,READING MATERIALS,leaflet,l _ _ _ _ _ _
4,BUILDING PARTS,office,o _ _ _ _ _,,BUILDING PARTS,office,o _ _ _ _ _
4,INSTRUMENTS,tuba,t _ _ _,,INSTRUMENTS,tuba,t _ _ _
4,STATES,iowa,i _ _ _,,STATES,iowa,i _ _ _
4,SCIENCES,kinesiology,k _ _ _ _ _ _ _ _ _ _,,SCIENCES,kinesiology,k _ _ _ _ _ _ _ _ _ _
4,INSECTS,dragonfly,d _ _ _ _ _ _ _ _,,INSECTS,dragonfly,d _ _ _ _ _ _ _ _
