suject,session,trials,category,target,rp,,critical_cat,critical_target,critical_rp
2119,1,1,BOY NAMES,nick,n _ _ _,,,,
2119,1,2,RELIGIOUS BUILDINGS,monastery,m _ _ _ _ _ _ _ _,,,,
2119,1,3,COLLEGES,u chicago,u _ _ _ _ _ _ _ _,,,,
2119,1,4,FLOWERS,gardenia,g _ _ _ _ _ _ _,,,,
2119,1,5,MILITARY TITLES,major,m _ _ _ _,,,,
2119,1,6,VEGETABLES,spinach,s _ _ _ _ _ _,,VEGETABLES,spinach,s _ _ _ _ _ _
2119,1,7,FOUR-FOOTED ANIMALS,donkey,d _ _ _ _ _,,FOUR-FOOTED ANIMALS,donkey,d _ _ _ _ _
2119,1,8,BIRDS,ostrich,o _ _ _ _ _ _,,BIRDS,ostrich,o _ _ _ _ _ _
2119,1,9,SPORTS,racquetball,r _ _ _ _ _ _ _ _ _ _,,SPORTS,racquetball,r _ _ _ _ _ _ _ _ _ _
2119,1,10,INSECTS,flea,f _ _ _,,INSECTS,flea,f _ _ _
2119,1,11,SCIENCES,virology,v _ _ _ _ _ _ _,,SCIENCES,virology,v _ _ _ _ _ _ _
2119,1,12,STATES,idaho,i _ _ _ _,,STATES,idaho,i _ _ _ _
2119,1,13,TRANSPORTATION,train,t _ _ _ _,,TRANSPORTATION,train,t _ _ _ _
2119,1,14,BODY PARTS,wrist,w _ _ _ _,,BODY PARTS,wrist,w _ _ _ _
2119,1,15,FISH,herring,h _ _ _ _ _ _,,FISH,herring,h _ _ _ _ _ _
2119,1,16,PRECIOUS STONES,jade,j _ _ _,,PRECIOUS STONES,jade,j _ _ _
2119,1,17,SEASONINGS,paprika,p _ _ _ _ _ _,,SEASONINGS,paprika,p _ _ _ _ _ _
2119,1,18,SOURCES OF FUEL,kerosene,k _ _ _ _ _ _ _,,SOURCES OF FUEL,kerosene,k _ _ _ _ _ _ _
2119,1,19,FRUIT,blueberry,b _ _ _ _ _ _ _ _,,FRUIT,blueberry,b _ _ _ _ _ _ _ _
2119,1,20,CITIES,atlanta,a _ _ _ _ _ _,,CITIES,atlanta,a _ _ _ _ _ _
2119,1,21,TREES,evergreen,e _ _ _ _ _ _ _ _,,TREES,evergreen,e _ _ _ _ _ _ _ _
