session,category,target,rp,,critical_cat,critical_target,critical_rp
1,GIRL NAMES,nicole,n _ _ _ _ _,,,,
1,GIRL NAMES,nicole,n _ _ _ _ _,,,,
1,BOY NAMES,ed,e _,,,,
1,GIRL NAMES,elizabeth,e _ _ _ _ _ _ _ _,,,,
1,GIRL NAMES,nancy,n _ _ _ _,,,,
1,FOUR-FOOTED ANIMALS,rat,r _ _,,FOUR-FOOTED ANIMALS,rat,r _ _
1,COUNTRIES,germany,g _ _ _ _ _ _,,COUNTRIES,germany,g _ _ _ _ _ _
1,STATES,kansas,k _ _ _ _ _,,STATES,kansas,k _ _ _ _ _
1,INSECTS,hornet,h _ _ _ _ _,,INSECTS,hornet,h _ _ _ _ _
1,CARPENTRY TOOLS,sandpaper,s _ _ _ _ _ _ _ _,,CARPENTRY TOOLS,sandpaper,s _ _ _ _ _ _ _ _
1,FABRICS,flannel,f _ _ _ _ _ _,,FABRICS,flannel,f _ _ _ _ _ _
1,SHIPS,motorboat,m _ _ _ _ _ _ _ _,,SHIPS,motorboat,m _ _ _ _ _ _ _ _
1,TOYS,ball,b _ _ _,,TOYS,ball,b _ _ _
1,FOOTBALL TEAMS,jets,j _ _ _,,FOOTBALL TEAMS,jets,j _ _ _
1,DWELLINGS,igloo,i _ _ _ _,,DWELLINGS,igloo,i _ _ _ _
1,SEASONINGS,vinegar,v _ _ _ _ _ _,,SEASONINGS,vinegar,v _ _ _ _ _ _
1,VEGETABLES,potato,p _ _ _ _ _,,VEGETABLES,potato,p _ _ _ _ _
1,READING MATERIALS,letter,l _ _ _ _ _,,READING MATERIALS,letter,l _ _ _ _ _
1,MUSIC STYLES,opera,o _ _ _ _,,MUSIC STYLES,opera,o _ _ _ _
1,CAR MODELS,cadillac,c _ _ _ _ _ _ _,,CAR MODELS,cadillac,c _ _ _ _ _ _ _
1,CITIES,dallas,d _ _ _ _ _,,CITIES,dallas,d _ _ _ _ _
1,BODY PARTS,teeth,t _ _ _ _,,BODY PARTS,teeth,t _ _ _ _
1,COLORS,aqua,a _ _ _,,COLORS,aqua,a _ _ _
1,BOY NAMES,zach,z _ _ _,,,,
1,BOY NAMES,eric,e _ _ _,,,,
2,CHEMICAL ELEMENTS,manganese,m _ _ _ _ _ _ _ _,,,,
2,FOOTWEAR,flats,f _ _ _ _,,,,
2,DANCES,foxtrot,f _ _ _ _ _ _,,,,
2,GIRL NAMES,joan,j _ _ _,,,,
2,BOY NAMES,justin,j _ _ _ _ _,,,,
2,INSECTS,spider,s _ _ _ _ _,,INSECTS,spider,s _ _ _ _ _
2,DWELLINGS,townhouse,t _ _ _ _ _ _ _ _,,DWELLINGS,townhouse,t _ _ _ _ _ _ _ _
2,CLOTHES,vest,v _ _ _,,CLOTHES,vest,v _ _ _
2,FRUIT,nectarine,n _ _ _ _ _ _ _ _,,FRUIT,nectarine,n _ _ _ _ _ _ _ _
2,VEGETABLES,zucchini,z _ _ _ _ _ _ _,,VEGETABLES,zucchini,z _ _ _ _ _ _ _
2,FOUR-FOOTED ANIMALS,rat,r _ _,,FOUR-FOOTED ANIMALS,rat,r _ _
2,COUNTRIES,israel,i _ _ _ _ _,,COUNTRIES,israel,i _ _ _ _ _
2,STATES,hawaii,h _ _ _ _ _,,STATES,hawaii,h _ _ _ _ _
2,BIRDS,chicken,c _ _ _ _ _ _,,BIRDS,chicken,c _ _ _ _ _ _
2,CAR MODELS,acura,a _ _ _ _,,CAR MODELS,acura,a _ _ _ _
